gold_id,gold_question,best_rank
1978,How did Chuck DeVore do compare to others?,255
8187,In which event did Australia's Ian Thorpe edge out his teammate Grant Hackett and by how much time?,2
21207,Which television characters did Kwon Yul play in 2014 and 2015?,686
7912,What movies did Peter Hughes act between 1970 to 1987?,130
2198,How did Rees-Mogg do in the election?,1
10072,What is Kami Cotler's most famous role?,604
1828,What club and league did Mariappa play in the 2007-08 season?,50
1233,When and where did Andrija Delibašić score his second goal ?,6
8475,Who was the successor to Charles Stevens and how long did he serve?,142
8358,How many films directed by Chatrichalerm Yukol have been submitted by Thailand for the Academy Award for Best Foreign Language Film and what are they?,15
2188,What did Kathy Baker win for her performance in Street Smart?,214
8469,What year did Breeda Wool appear in the most films?,222
10022,What is the 'Present Value' for two years at the 10% rate?,1
20901,What year did Yuichi Yoda join Japan Football League club Yokohama FC?,7
16802,"What was the year, category and nominated film for which Langmann won an Academy Award?",288
20880,Which Grammy Awards was K. Flay nominated for?,1
8328,What roles did Landry Bender play as in the films Crash & Bernstein and The Sitter?,2
1412,What was Felice Bonetto's best performance at the FIA Formula One World Championship?,5
10430,How many and what kind of AEC 761T trolleybuses were there in Sydney?,4
21005,Where is the Rønvik Church located?,1
21377,"Which team did Luther Burleson coach in 1908, and what was his overall record that year?",1
9309,Which Grand Tour events did Simone Stortoni compete in?,1
17658,What awards did Rodney Crowell win in his career?,519
1207,"What are the date, arena, and location for the event Deep: clubDeep West Chofu?",1
17128,How was Inna's performance during the 2010 and 2011 Balkan Music Awards?,1
21371,Which awards and honors did Andrea earn for her performance in My Favorite Year?,35
14342,"What was the total duration, in distance, time, and stages, of the 1984 Tour de France?",13
21315,Which years and for how many total appearances did Azer Bušuladžić represent Vejle Boldklub?,1
21289,"In the 1882 Cirencester General election, which candidate won and by what majority of votes?",30
7723,What were Michael Beck's first film roles in 1979 and 1980?,1
1875,How many stages do the 1972 Vuelta a España have? How long was it covered?,8
9125,How did the Republic of Ireland perform in the 1932 Isle of Man Junior TT race?,21
1907,How did Ryan Nelsen do for the league games while playing for the Blackburn Rovers?,116
17633,"Who did Dane Cook play in ""The Mystery Men"" in 1999, and what else did she appear in that year?",912
2065,What did Bralon Taplin achieve at the 2016 Olympics?,681
21598,How many total appearances and goals did Gary Bennett rack up whilst playing for Sunderland?,29
2267,"What awards did Kwon So-hyun win for the film ""Madonna""?",1
16701,Who won the second round of the 2018 Loiret's 4th constituency by-election?,4
17424,"What were the year, position, and mark for Ryzih's first Olympic appearance?",82
633,Who and when did Reed play in The Twilight Saga?,28
9890,What roles did Connie Britton play on TV in 2018?,321
10593,What were Ukraine's results in the world cup?,1
7894,On what dates did Sunderland Greyhound Stadium and Yarmouth Stadium open?,2
15012,What was Dewar's party and total vote deficit in the election?,74
8298,By how much did Peter Vanderkaay secure the fourth place ahead of Tunisia's Oussama Mellouli and what record did Oussama Mellouli establish?,378
8962,How did Blériot do compared to Curtiss in the competition?,1
1403,In what roles in what television series did Jaz Sinclair perform in 2017?,408
9305,What roles did Matthew Mercer have with Funimation dub?,859
21688,"In the 1929 Tour De France, how many stages did the course consist of and what was the total course distance?",31
2164,How many appearances did Mark Letestu make in 2007-08?,6
12123,What role did LaChanze play in If/Then during the 2014-15 Broadway run?,35
21615,"When was the single ""Whenever You Need Somebody"" first released?",1
12205,What works of art did Hyomin release in 2016?,138
8408,What races did Norm Beechy win and what cars was he driving when he won?,1
8470,How did Sharon Lokedi perform at the 2018 NCAA Women's Division I Indoor Track and Field Championships?,8
2063,How many votes did the candidates obtain compared to each other?,17
14998,"In 2010, what medals in which events and competitions did Amine Laalou win?",5
21351,During which season and for what club did Jamie Walker make his first appearance in the Scottish Championship league?,432
20796,What roles and movies did Adam Garcia star in during 2000?,686
10442,How many containers and how much cargo did the Part of Cagliari handle?,52
9921,How did the Australians perform?,8
16919,How did the 2015 elections in Poland turn out?,2
1569,What events were hosted at the Caesar Gym Shin-Koiwa and when were they held?,15
21256,"In 1992, which international competitions did Haile Gebrselassie participate in and how did he place in each competition?",8
8354,What roles did Paola Volpato play in 2007 and for which films?,264
21327,"During the 2013-14 season, which club and what division did Christian Benteke represent?",11
9525,What were Rajiv Menon's first two roles?,5
8326,Who did Tasmania have in the MCC tour of Australia in 1970–71 and what were they out for?,2
7953,What are the frequencies that are in use for the BBC Radio Stoke station?,3
949,Which role did Kristin Chenoweth play in 2002?,13
1393,What was the first role of Eddie Powell?,8
1704,Did Julie Nathanson play any voice roles in live-action films?,1891
21396,"Who was elected to the Ashfield seat in 1992, and which member previously held the seat?",20
1745,For what club did O'Connor play the most?,52
20857,What is the Nitrogen dioxide (NO2)-annual average for 2010 and 2011?,1
10575,When has Stewart appeared in The Tempest?,1
9884,"How many goals did Boško Balaban score on March 24, 2001 against Latvia in the 2002 FIFA World Cup?",1
11883,What years did Vasili Kuznetsov work as the Chairman of the Presidium of the supreme soviet union?,2
8431,What films did Celeste Holm appear in between Bloomer Girl and His and Hers?,1871
21479,"Which version of ""Resistance"" was distributed during its second worldwide release and when did that occur?",1
10663,Who were the last two athletes in the finals at the 2008 Summer Olympics?,31
544,What role did Tate Ellington portray in 2010?,377
12372,How successful was Kjersti Plätzer in 2004 and 2007?,1390
2073,How did the candidates do in the 2006 election?,216
20841,When was the last single from the Eko EP released?,1
10672,Who succeeded Joseph Philippe as bishop of Luxembourg and when?,5
13732,How would you describe the Sekken Church from other churches?,7
1740,Where did Tomás de Teresa perform the best in his career?,104
12518,"What is one of the churches of the Rissa parish, and in which prosti is the Rissa parish part of?",1
2001,What divisions did Steve Biggins play during the time in Oxford United?,2
12082,"What did Ned produce after ""Reason To Hate"" and what were the artists featured in these singles?",33
41,What film and role did James Waterston play as debut?,120
8154,How much forfeitures did the Department of Justice's Asset Forfeiture Fund take in 1986 and 2008?,1
21013,What were the results of the 1967 San Diego mayoral election?,228
2104,When was Meirionnydd Nant Conwy represented by Dafydd Elis Thomas?,1
17130,How effective was Jean-Luc Grand-Pierre's performance during his debit in the American Hockey League?,114
12708,What was the success of Remalda Kergytė-Dauskurdienė in 2009 World Championships?,4
1711,Did Kellie Pickler receive any certifications in her discography?,1
12860,How did the Conservative party perform in East Surrey?,9
15578,Which awards did The New Classic win in 2014?,197
1962,"When was the song ""Lemonade"" first released in Italy, Romania and Japan?",61
1859,Did Judith Light ever win Tony Awards?,82
7944,How effective was Kirani James during the 2016 summer olympics?,665
2587,"What awards and nominations did Two Days, One Night obtain in 2014?",318
14354,"What films and miniseries did Jeannie Berlin appear in in 1975, 2011, 2014, and 2016?",198
12330,What were the highlights of Molly Seidel career in 2018 in the event that was held in Scotland?,4
17258,How many seats did the National Union win and what was the turnout during that election?,1
2119,How many games and when did Hannu Järvenpää play for the National Hockey League (NHL)?,2
21341,"Throughout his career, which roles did Thomas Gibson appear as in 70 or more episodes?",308
285,Who won the first heat and what's the record?,247
14841,What and where was Judy Kuhn's most recent role?,422
1748,Did John Howard Davies play any title roles in his career?,418
11448,Who did Duchovny voice in the video games released in 2003 and 2005?,27
14667,What role did Annaleigh Ashford reprise (and in which theatre) on Broadway in 2016?,99
7952,What awards did Rachel House receive in 2001?,3
21495,"In the 2005 Pengkalan Pasir by-election, who were the top two candidates and how many votes did each candidate receive?",2
21536,"As a result of the 1903 Bulgarian parliamentary election, what ratio of total seats did the winning party walk away with with?",95
2125,How did Daniel Zeichner win the election compared to his closest opponent?,50
10434,Who won the gold medal and whom did they defeat?,346
1750,What happened to Frédéric St-Denis after five seasons in the QMJHL league?,40
8970,Which two teams joined the Mousesports on 2018-07-30?,1
449,What did Dreama Walker play in the Seven Deadly Sins?,601
8101,Which show did Eric Close star as Travis Tanner and which year?,26
21352,Which films did Jamie Bell appear in in 2004 and 2005?,84
10248,What films did Haya Harareet appear in in two consecutive years?,198
17125,How was Ben Howland's first season at Mississippi State?,34
8500,"What are Charlotte's professional football and basketball teams, and what leagues do they play in?",1
13988,"What team did Kevin Bartlett join in 1987-88, and which division was the team playing in?",2
2201,What events do Eric Cray hold the record for?,7
21630,"When did Zersenay Tadese earn his first 10,000 m Game Record at the All-Africa Games, and what was his time?",9
11901,What did Maggie Ewen achieve in 2018 NACAC Championships?,1
21547,In which film did Eleanor Tomlinson play Xenya and when was that film first released?,282
12211,"How successful was the group Destiny's Child during the year 2001, compared to the other years of their careers?",366
21538,When and in which television show did Michelle Bai play the role of Princess Yushu?,75
12230,How many penalty minutes did Flick get with Missisauga in 2010 and 2011?,2
10741,What awards did Goran Jevtic win for Hamlet in 2011?,1
14782,When did Muse get nominated for or win the Best British Band award?,1
1764,How close was the election involving Wilfrid Roberts?,491
1285,What did Adelaide Clemens play in 2011?,28
11676,What films did Bryan Pringle appear as Arthur Pringle and as Felix Norman?,908
21392,Which awards and nominations did Harvey Fierstein's La Cage aux Folles earn?,1
1838,What games did Pelle Rietveld participate in 2013?,160
8471,On what frequencies in what cities does WHQR broadcast on HD2?,1
11357,What were the frequencies of KSLP in South Dakota and KSLS in North Dakota?,1
17272,What was the result of the 1990 Maryland gubernatorial election?,15
21069,Where did Kristina Gadschiew finish in the 2009 World Championships she competed in?,5
12357,What was interesting about the rankings Nuria Fernández achieve at the 2009 World Championships and the 2009 European Indoor Championships?,210
20886,How many goals in how many games did Billy Poulson score for club Vale?,8
21023,What did Tom Felton's performances in Harry Potter and the Half-Blood Prince win him in 2010 MTV Movie Awards?,1
8941,What are the drop and max vertical angle of the New Texas Giant?,1
14713,How many appearances and seasons did O'Connor put in with Burnley?,101
9849,Which roles did Drew Van Acker play from 2013 until 2017?,813
7800,Who came in 4th place in the men's 100 metre breaststroke during the 2008 Summer Olympics?,564
21035,"What are the values for the final turnout, registered electors and total poll in the 2010 Sri Lankan presidential election?",315
12570,How populated is the Chengdu metro in terms of stops along its length?,18
1990,What awards did Harry Nilsson win?,227
12129,How well did Evans do in the 1921 Cardiganshire by-election?,1
1633,How did San Jose State's record change from 2000-01 to 2001-02?,1
10230,What roles did Jordan Fry play in Charlie and the Chocolate Factory and Meet in the Robinsons?,189
1236,What did Angelson play in 2019?,580
1556,What year did Lufshan Shakeeb appear in the most films?,48
11312,What are the two most populous areas in Wales?,1
9072,What roles and from which television films did Kelly Jo Minter portray in 1986?,238
1665,What happened to Jason Euell after 5 seasons in the Premier League playing for Wimbledon?,9
10250,Who were top two at the Miller High Life in 1986?,82
21694,When and where did the Tour De Force tour end in 1986?,22
13835,What is Cleethorpes and which person and party currently represent it?,207
12237,What award did Barbie Forteza win in 2014 and for what film?,28
20756,What position did Audrius Raizgys finish at the 1994 European Championships in Helsinki.,6
21460,When and in which television film did Richard Dean Anderson play the role of Tony Kaiser?,78
7839,What recurring characters has Ryan Kennedy played,1034
222,What TV show did Rittenhouse appear in 2015?,828
10744,What roles did Marco Pigossi play in 2007-2008?,1239
1958,Who won the election and by how much?,74
10008,"What roles did Erik Wiese have in the production of CatDog, The X's, and 2000 Sammy?",682
20894,What awards did Channing win in 1964?,45
7766,"Name the characters played by Wendy Robinson in both ""The Steve Harvey Show"" and ""The Game""?",1203
1160,How many goals did Klaus Allofs score in the UEFA Euro 1980 game against the Netherlands?,8
17111,What was the outcome of the 1865 Gold Fields by-election?,121
12771,How did Boyzone perform as a band during the year 2010 with their releases?,253
909,What role did Stefan Valdobrev play in The World is Big and Salvation Lurks Around the Corner in 2008?,1
7996,What were the achievements of Martino Finotto during the Jolly Club?,4
8131,What car did McNally drive in 2008 Fujitsu V8 Supercar Series and 2009 V8 Supercar Championship and for which team/s?,2
21419,When and where did the Pre-Scenes From a Memory festival take place?,29
10314,When did Brian Rast win the championship?,1
12202,"Who starred as Sara Ellis in White Collar (2010–13) and in 2013, played a recurring role as Dr. Lauren Boswell in Grey's Anatomy?",353
20795,How well did Peralta play at the 2015 CONCACAF Gold Cup?,63
10470,When was David Ernest Buffett speaker of the Assembly?,1
17306,Which party won the majority seats and by how much in the 2016 Serbian parliamentary election?,1
2000,When did Masakazu Koda first joined the Japan Football League and which club did he play for?,5
14216,"How did Fadrique Iglesias perform in the 2006 Ibero-American Championships at Ponce, Puerto Rico?",62
20949,What is included in the SkyTeam livery?,44
11272,What are the half-lives of the Bohrium isotopes ²⁷⁰Bh and ²⁷⁴Bh?,1
21046,How did Ian Thorpe perform compared to Ryk Neethling in the 2004 Summer Olympics Men's 100 metre freestyle?,432
2259,"When did Powell lose his seat, and to which party?",471
12377,How did Paul Meier perform at the at the 1993 World Championships in Stuttgart?,4
12564,"How did Mikhail Ryzhov perform at the at the 2013 World Championships in Moscow, Russia?",2
15150,Who won gold for boys' and girls' teams?,1
14765,"When, where, and how did Linda Stahl win her second gold medal?",74
10736,What films have Caleb Landry Jones appeared in that led to award nominations?,1
11271,What films did Egerton act as Sarah and Flora?,1569
15195,"What event and competition did Dahlia Duhany win in Tokyo, Japan in 1991?",44
2172,How did Leleith Hodges perform in the 1981 CAC Championships?,31
11567,Which films did Shayne appear in between 1934-1961?,3
10459,What were the first four releases by P.S Eliot?,531
20814,How well did Labour perform in the llford North election?,19
10661,When did Sunil Kar win the Cooch Behar North?,5
8503,How did Lily Nicksay do in the 2018 Ovation Awards?,15
14626,What overall record did Hank Raymonds achieve and how many seasons did he take to do it?,82
9054,What were the three films directed by Yakub and when were they released?,73
9213,What Format was the most common?,57
21617,"During the 2012 season, which clubs and respective divisions did Meghan Klingenberg play for?",41
1863,What's the result of the election?,39
21343,Which Conservative candidate won the Broxtowe election in 2010 and by what vote majority?,8
1296,When and where is Fight Nights Global 78: Tsarev vs. Guseinov?,1
11330,What movies did Chris Carmack have a voice role?,130
9729,Which roles did Alice Nunn play in 1987?,588
540,What is the personal record that Sergey Marchuk make on 11 March 1977?,383
1835,What medals did Carlo Simionato win in 1983 Mediterranean Games?,4
899,What were the terms of Peter Swan's transfer?,10
9971,In what films did Taissa Farmiga voice for Raven?,29
15132,What nominations did Klĭtôrĭs receive in 2016 and for what album?,1
21116,What Flemish movie dubs did Laura Tesoro participate in in 2016?,23
1438,Did George Rainsford appear in any productions for Bristol Old Vic theatre company?,11
2241,What are Keila Costa's personal best in the triple jump and the long jump?,3
10456,What roles did Moore appear in in 1962?,237
10002,Which albums did Minimum Serious release through On the Ring Records?,1
597,What roles did David Paetkau play in 2003 and in 2011?,60
11477,"How was Paul Edmondson's performance during 1989, 1990, and 1994?",37
2016,What did Joseph Quinn play in the Dickensian and Howards End?,5
8396,Which films did Arundhati appear in 2014 and 2015?,89
10421,Did Grease set a record for longest performance run?,8
9673,"Aside from Jolene in Slayground, what were Kelli Maroney's first four other roles?",800
12033,What did Gerd Muller do after his career in the Bundesliga?,1
8925,"When and for which films did Telma Hopkins play the role of Ruth ""Ruthie"" Raines?",1
21217,Which television film role did Daniel Craig play in 2002?,1485
2085,What did Li Xiaohong achieve in the 2014 Asian Junior Championships?,93
12120,"How did Drew Hastings perform against John Levo, and what were their respective votes totals?",1
12745,How many seats did the Liberal Party won during the November 1910 Greek legislative election?,1
21373,When did Darshan win his first Karnataka State Film Award for Best Actor and for which work?,28
12578,What soccer league did Hisashi Kaneko play in in the 1985/1986 season?,26
319,Who are members of legislative assembly before 1975?,505
20986,When was Kveikur released through XL Recordings in the United States?,1
12768,What was Tuika Tuika's performance during the 2010's United States House of Representatives elections?,109
13836,What were the vote tallies of the top two candidates and who was the winner for this election?,84
2227,How many people among all on the electoral roll vote for the 1943 by-election?,161
10410,In what formats was Roger the Engineer released?,1
20876,Which of Will Arnett's performances make him four times nominated for the Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series?,2
512,Which role did Visitor appear for longer than 5 years?,200
13903,What music was released in 2014?,210
12997,How was Moa Hjelmer doing in the 2012 European Championships?,4
8958,What are the awards received by Omar Sharaf and when and where were those awards received?,7
14820,Which people served as representative of the Pennsylvania 9 district during which dates?,520
10465,What appearances did Gray make in 1994?,8
16253,What was the overall score for Muskingum during 1925 to 1927?,1
12383,"In what movie did Ian Charleson play Eric Liddell, and what year did the movie come out?",213
10202,What were the first two albums that Tench and Streetwalkers recorded?,198
14625,Who did Bruce Sundlundefeat in the 1992 Rhode Island gubernatorial election?,5
14513,"How many players were tied for fifth place at even-par 144 in the second round of the 2003 Masters Tournament, and who were they?",20
12327,What award did Heather Headley win 2000 ?,1
10205,What films did Laura Bundy appear in before 2000?,2
8089,Which characters did Sabra Jones play in La Fille du Régiment and Les Troyens?,990
12391,Who were the first and the second team selections in the 2009 NCCA Men's Basketball selections?,2
1879,What teams joined the British Basketball League after 2000?,591
14194,Who was the winner by what majority for the Cowdenbeath by-election?,11
21109,"When the ""Bird"" Album Released?",1
21398,When and in which film did Angourie Rice appear as Holly March?,46
1448,Where and when was the first Nuclear Security Summit held?,1
8580,What is Thornhill known for playing?,3767
21697,How many years did Whitey Baccus coach for SMU and what was his coaching record?,1
1755,Did the incumbent candidate win?,144
1410,What shows did Jonathan Taylor Thomas appear in in 1990 and what roles did he play?,109
10518,What Hawker planes has Air Ceylon had?,9
20954,How did Markos Geneti perform in the 2003 Afro-Asian Games and the 2004 World Indoor Championships?,44
1719,Did Christina Aguilera win any Juno Awards?,207
10571,What roles did Redford play in 2010?,176
38,Who win the award in 2008?,5308
7778,What is the acting history of Jon Bon Jovi between the years 1995 to 2011 but not including the year 2000 ?,127
21047,What competitions did Masaharu Suzuki play in 1989-90?,1
12115,For which films did Isuzu Yamada have the roles Tsuruhachi and Kotomi?,3
7786,What were the demographic changes in Nathu Chanhal?,51
9112,When did Tati Gabrielle perform as Tatiana Hobson?,1
8555,Which ships were sunk by U-511?,6
1715,Were any friendly matches played in Rio Tinto Stadium?,123
9132,In what category was Rachel House most distinguished?,302
10551,What roles did Jovovich play in Much Ado About Nothing and the Fairfax Millions?,2
12508,How did BJP perform in the Allahabad North (Assembly constituency) election results?,58
17279,Where did Stiehm start his career in 1910 and how did he perform?,14
8114,Which roles and what film titles did Rashida Jones star in the year 2000?,1603
980,Which role did Christa B. Allen play in 2015 alone?,537
21190,How did Hayden Panettiere fare at the 2012 and 2013 Golden Globes?,620
2070,What was Olga Markova's achievement in 1992?,15
10266,"Other than The Swan Princess, what other pre-2000's films did Larisa Oleynik play in?",635
20758,Which year and film did Parker play the character Rome?,374
232,Did Eileen Heckart win any award in 1970s?,320
825,Which geographic regions does the 2021 Women's Rugby World Cup include?,8
10264,Which role did Lee reprise?,107
21645,"What are the MBPR stats for Weatherby’s B25780TTSX and B257100TSX ammunition, respectively?",1
989,Which player scored the most points in the 1953-54 Illini season?,18
2174,What Malayalam films did Skanda Ashok appear in?,241
21690,Who defeated Sharatt and with what percentage of the vote?,18
1847,What films did Brooke Theiss appear in the first year of her career?,454
8132,Which athletes rounded out of the finale round of swimming at the 2008 Summer Olympics – Men's 200 metre backstroke ?,174
10733,"What was the best-selling album in the U.S. before Michael Jackson's Thriller, and for how long did it hold this record?",1
12702,At which events was Pete Snodden a Media Personality of the Year between 2008 and 2009?,22
1827,Which club and league did Pepe play for in the 2010-11 season?,192
14814,What was the highlight of Kelo's career in 2008?,274
21632,How many times did Thorill Glylder compete in the IAAF World Race Walking Cup and how did she place?,2
21198,In which category did Kinky Boots win Artios Award in 2013?,2
12548,How did Mary Jepkosgei Keitany finish at the 2017 New York City Marathon?,60
11896,How did Surinder Singh perform in the 2013 elections?,77
12448,What were the results of Forrester and Jon Corzine?,1
9247,Is there a disparity in literacy between males and females?,6
8311,In what all games did the Dundee United appear in?,1
8294,What positions did the Surprise album reach at the Billboard 200 and the US Top R&B/Hip-Hop Albums chart respectively?,20
11356,"What shows did Amber Beattie act in in 2009, and what were her roles?",35
9891,What roles did Michael Pitt play in 2014?,220
8079,When was Stephen Hendry ranked world number one (and for how many seasons and were they consecutive or not) and did he ever reach number one again?,564
12133,"Who appeared as ""Elmer"" in The Munsters and when did they appear?",262
12349,How long was the 2004 Tour the France and how many stages did it have?,57
17492,What path does Military Trail in Florida take?,13
7985,what was the distance of the two records established by Katerina Stefanidi in 2015?,264
2151,Which marathons did Jerome Drayton win?,13
21640,"What are the names of the two top candidates in the 2008 St Helens Metropolitan Borough Council election, and how large was the majority in terms of number of votes?",74
21570,Which candidates placed third and fourth in the 2011 Nigerien presidential general election?,1
12397,"How did Hanna Miley, Stephanie Rice and Caitlin Leverenz do in the 2012 Summer Olympics – Women's 400 metre individual medley?",5
9344,What are Darvis Patton's personal bests?,1222
12203,How long is the Taolaizhao–Shulan railway in kilometers?,1
10646,How did Tracey Morris perform in races in 2004?,8
9004,What aircraft was introduced in 1990?,3
14980,When and with what singles did the Montgomery Gentry achieve Number One on the charts after 2004?,14
7896,How did the number of catholic nuns grow within the United States from 1840 to 1930?,1
12142,Who won the 1951 Mongolian legislative election and what were the remaining seat numbers?,3
448,What BEFTA awards did SHiiKANE win?,1
21292,When and in which cities did Thobias Nilsson Montler earn his top two personal bests in the long jump?,12
20722,How many out of 464 seats did the Rikken Seiyūkai party win?,1
11733,Who played the character Sgt. Al Powell and in which movies in the Die Hard franchise did they play the character?,1
8936,What is the racial distribution of Pomona in 2010?,2
725,What is Miles known for in 1964?,37
20846,What positions did Canada Jacques Villeneuve and Germany Heinz-Harald Frentzen take and with what time?,1
1771,What was Pam Borton's best year as head coach?,105
2216,"How was ""Edge of the Ocean"" released in 2001 in both the US and the UK?",2
7769,In what shows were Linda Gray got cast as Hillary Michaels?,22
14409,What Sony TV projects was Aparshakti Khurana involved with in 2017?,191
8000,By how much time did Stanley Woods beat Jimmie Guthrie in 1935?,1
750,What did Linda Liao play in 2005?,339
8505,How did US viewer counts change in the second half of Holly's World Season 1?,1
7834,What were the Olympics on US TV Rights Fees paid during 2018 through 2020?,1
21100,What Halo movie and role did Daniel Cudmore play in during 2012?,141
17478,What shows did Super Tekla appear in 2017?,39
10039,How close were the top two finishers in the Sidecar TT Race 'A'?,22
20893,Where and when did the  Who Tour begin and end?,2
8133,Which 3 nations completed a close finish at the 2000 Summer Olympics finale?,130
21329,What award did lose yourself get at the MTV Video Music Awards?,17
988,"Which film did Rao star in in 2011, and which language was it set in?",2
14661,"What universities did Pete Newell work at, and what kind of overall record did he achieve there?",287
21274,When and for which creative work did Mike Birbiglia win his first Lucille Lortel award for Outstanding Solo Show?,12
8291,"What roles did Tupac Shakur star as in Juice (1992), in Poetic Justice (1993), in Gridlock'd (1997), and in Gang Related (1997)?",1
8389,"What is the total population of Dhak Balaloan, how many were men, women and what are the total number of houses?",19
14827,Who (person and party) won the Oldham election by defeating Battye and by how many votes did they win?,1
12596,What new record did Sara Simeoni set in the 1980 Olympic ?,72
9653,Did Samantha Bond have any roles in James Bond movies?,114
992,What were the first four signings in the 1981-82 Port Vale F.C. season?,16
10408,How many males and females live in Phiali households?,19
20724,What did Takenori Hayashi join in 1999?,97
8185,By how much percent did Diego Maradona win the FIFA's Internet-Based poll and against who?,2
1469,Did Vikramjeet Virk appear in any Punjabi projects?,36
8342,"How many passes, out of 30, did Alabama complete in 2014 Sugar Bowl and for how many yards?",1
2020,Did Nate Thompson change any teams during the 2012–13 NHL season?,136
9632,What roles did Greta Garbo have in 1931?,1
8150,How much did the total forfeitures change from 2005 to 2010?,1
17672,What were Perković achievements in the 2012 Olympics?,156
17671,How did Alfredo Di Stefano play on the Real team?,346
1856,What's Christian Reif's best record in 2010?,54
1291,"What is the Literacy rate of Awan among male, female, and total?",5
21544,"When did Delroy Poyser earn his first Central American and Carribean Games gold medal in the Long Jump, and where did the competition take place?",8
21675,"In the 2000-01 season, how many goals did Hernán Crespo score and which club did he play for?",111
21565,"When was Rich Maloney the head coach of the Michigan Wolverines, and what was his overall record with the team?",128
21394,Hayden Mullins made how many appearances in Portsmouth and was the loaned to what club for Championship?,145
21091,"What two soaps were the only ones to win the British Soap Awards from 1999-2013, and what show finally snapped that streak?",1
10107,When did Patrick McGoohan reprise his role as Number Six?,1
952,What role did Maurico Merino Jr. play in Conspiracy 365?,497
1430,Who were the best performing pitchers for the 1977 Detroit Tigers?,17
12541,In what year and what show did Grossman reprise her role of Pepper?,89
7950,Which movies did Bleszynski played in in 2008 and 2009?,463
21293,How did Galen Rupp do in the 2018 Chicago Marathon?,320
12052,Which roles did Daniel Mays portray in the films All or Nothing (2002) and Vera Drake (2004)?,2
1250,What is the result of 2010-11 playoffs?,37
1479,What years did Paul Nicholls appear in multiple films?,199
14645,What was Helen Slatter's backstroke performance like in 1991 and 1996?,1
13173,What were Locke and Thomson's results of the 1952 Open Championship?,1
12351,How did Miloš Zeman and Jiří Drahoš perform in the 2018 Czech presidential election?,1
2156,What did the Cover Girls perform in 1989?,5
8124,What is the metric equivalent for the royal cubit and digit?,1
2113,Did Brian Diemer come into the top 10 in the World Championships?,79
17276,What was Seedorf doing in the 2003-04 season?,116
11717,What are the first two short films Sharif appeared in in 2010?,2
8436,Which films directed by G.W. Pabst did Lousie Brooks appear in?,66
11366,"Where did Lorraine Vélez play her roles as Leah/Sister Hilton, Young Maria and as Anita?",627
21593,When was the Lady Love Album first released in the United States and which label released it?,2
21261,When did Tony Harper leave Brentford and how did he do with the club?,16
12712,What year was Amy Brenneman awarded the  Women in Film Lucy Award?,1
16881,What was Richards-Ross personal record for the 400m event during the London Olympics?,4
21276,For how many years and total appearances did Keith Bebbington represent the Oldham Athletic club?,1
9569,Where did Uzo Aduba perform in 2006 and 2008?,832
21143,How many seats did The Institutional Revolutionary Party win?,1
2149,How did the Hungarian Socialist Workers' Party do in the 1971 Hungarian parliamentary election compared to other parties (if any)?,1
12086,Which year and who played the Japan football league?,47
10740,What British ships did the U-338 sink on March 17 and what were their tonnages?,1
7753,Which gauge does MTR Corporation use in Hong Kong?,1
20778,"On Kentucky Route 603, what interchanges follow after Pleasant Valley Road No. 1?",1
21119,What was the nature of Harry McCalmont votes?,1
2100,How did Bradley do compared to Kloppenburg in the election?,1
9659,Who bookended the 2011 World Championships in Athletics in the preliminary round of the Men's 100 metre sprint?,379
11918,"Who won the 1920 Rhondda West by-election  for which party, and by how many votes over which candidate?",374
21247,When and in which titles did Honey Rose first appear in Telugu and Tamil language films?,12
7796,How many times did Dipak Chandra Sarkar win the election in Cooch Behar North?,3
10765,For what films has Renner been nominated for Academy Awards?,20
436,What has Fyodor Yurchikhin accomplished in the cumulative spacewalk?,1
11834,What roles and movies did Luke Macfarlane star in 2006-2011 and 2015-present?,650
8070,What were the results of the 1935 Lightweight TT Race?,32
1358,What did Hardwick play in 2002?,1610
726,When and where was M-1 Challenge 28: Emelianenko vs. Malikov held?,1
9230,Who were the candidates in the Mayor of Hoboken runoff election?,1
13160,What were the achievements of Mahiedine Mekhissi-Benabbad during the year 2004?,5
918,Which roles did Muljibhai Nayak play in 1915 and 1921?,8
9281,Did Portia Doubleday star in any short films?,39
21401,In what club and in what division was Paul Smith a player in the 1983-84 season?,19
9605,Did Topher Grace appear in any full films in 2010?,215
826,Did Leonard Rossiter ever play roles for TV series?,171
9211,Did Regina King win awards for any roles?,292
542,What role did Tamsin Greig play in 2010?,26
13242,What is the difference of seats between the Social Democratic Party and the Centre Party?,1
8109,Which film roles did directors Philippe Monnier and Robert Lamoureux give to Gerard Hérold in 1977?,1
8287,What is Sandaime J Soul Brothers' second studio album and when was it released?,1
9803,Which movies has Kevin Peter Hall starred in between 1980 and 1982?,26
11460,"Which films did Francisca Gavilán act in 2000, 2010 and 2011?",740
12543,What was the results of the 1913 Portuguese legislative election for the democratic party?,7
14111,What margin of votes did Biju Janata Dal candidate Rabi Narayan Pani defeated Bharatiya Janata Party candidate Dharmendra Pradhan in 2009 election?,1
17087,What landmarks come before and after the toll plaza in the Chickasaw Turnpike?,1
2285,"When was the single ""Lofty"" released?",60
9854,Which films did Cameron appear in during 1994-1995?,446
15109,What happened to John Findlay and Taare Parata and when did it happen?,108
20811,How many NHL games did Jimmie Ölvestad appear in with Lightning?,6
